time	date	device
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:57:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:58:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
14:59:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:00:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:01:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:02:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:03:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:04:00	2014-01-12	1
15:06:00	2014-01-12	1
15:06:00	2014-01-12	1
15:06:00	2014-01-12	1
15:06:00	2014-01-12	1
15:06:00	2014-01-12	1
15:06:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:07:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:09:00	2014-01-12	1
15:10:00	2014-01-12	1
15:10:00	2014-01-12	1
15:10:00	2014-01-12	1
15:10:00	2014-01-12	1
15:10:00	2014-01-12	1
15:10:00	2014-01-12	1
15:11:00	2014-01-12	1
15:11:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:12:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:13:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:14:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:15:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:16:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:17:00	2014-01-12	1
15:18:00	2014-01-12	1
15:18:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:29:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:30:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:31:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:32:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:33:00	2014-01-12	1
15:57:00	2014-01-12	4
16:07:00	2014-01-12	4
16:50:00	2014-01-12	3
16:51:00	2014-01-12	3
17:55:00	2014-01-12	2
20:00:00	2014-01-12	4
20:00:00	2014-01-12	4
20:01:00	2014-01-12	4
20:01:00	2014-01-12	4
20:02:00	2014-01-12	4
20:02:00	2014-01-12	4
20:02:00	2014-01-12	4
20:04:00	2014-01-12	4
20:05:00	2014-01-12	4
20:05:00	2014-01-12	4
20:08:00	2014-01-12	2
20:08:00	2014-01-12	2
20:08:00	2014-01-12	2
20:08:00	2014-01-12	2
20:08:00	2014-01-12	2
20:09:00	2014-01-12	2
20:09:00	2014-01-12	2
20:09:00	2014-01-12	2
20:10:00	2014-01-12	2
21:35:00	2014-01-12	3
21:36:00	2014-01-12	3
00:48:00	2014-01-13	4
08:58:00	2014-01-13	2
09:05:00	2014-01-13	2
09:05:00	2014-01-13	2
09:06:00	2014-01-13	2
09:40:00	2014-01-13	4
09:40:00	2014-01-13	4
10:58:00	2014-01-13	3
11:02:00	2014-01-13	3
11:02:00	2014-01-13	3
11:07:00	2014-01-13	2
11:09:00	2014-01-13	2
11:11:00	2014-01-13	3
11:17:00	2014-01-13	3
11:19:00	2014-01-13	3
12:48:00	2014-01-13	3
12:49:00	2014-01-13	3
12:51:00	2014-01-13	4
12:56:00	2014-01-13	4
12:57:00	2014-01-13	2
13:45:00	2014-01-13	1
13:45:00	2014-01-13	1
13:45:00	2014-01-13	1
13:45:00	2014-01-13	1
13:45:00	2014-01-13	1
13:45:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:46:00	2014-01-13	1
13:47:00	2014-01-13	1
